stage,id,bytes,strategy,rounds,decode_ns,lifecycle_ns,bytes_per_second,paired_percent,ci95_low,ci95_high,allocations,allocated_bytes
exploratory,200M-25912210,613528,bounded,11,603063.1818181818,739195.4545454546,1017352772.4744657,4.143945791546891,2.2095261676805547,6.078365415413227,11347,4141536
exploratory,200M-25912210,613528,native,11,579577.5454545454,709555.0,1058577932.8611295,0.10199738385674656,-1.9726140236005751,2.1766087913140684,10873,4970256
exploratory,200M-25912210,613528,u256,11,582316.8181818182,711346.1818181818,1053598283.3462259,0.5506728243997783,-0.8860967514351719,1.9874424002347284,10873,4970256
exploratory,200M-25912210,613528,integers,11,582617.1818181818,711742.9090909091,1053055109.1633693,0.6057239060678495,-0.9491606012757124,2.1606084134114116,10873,4970256
exploratory,200M-25912210,613528,count_int,11,612605.1818181818,751354.4545454546,1001506383.2452075,5.7961635089703325,3.7645214789667767,7.827805538973888,9893,1629784
exploratory,200M-25912210,613528,estimate_int,11,594024.9090909091,744169.6363636364,1032832109.5809573,2.5861270506217355,0.2629063568858734,4.909347744357598,11290,3786752
exploratory,200M-25912210,613528,hybrid_int,11,602844.2727272727,730676.5454545454,1017722200.8337145,4.0688065115562155,3.4541764214478023,4.683436601664629,10353,2664248
exploratory,200M-25912211,619844,baseline,11,603247.9090909091,732348.8181818182,1027511228.2346758,0.0,0.0,0.0,11093,5013870
exploratory,200M-25912211,619844,manual,11,612538.8181818182,745666.5454545454,1011926071.6241063,1.550571643329231,0.551659422155776,2.549483864502686,11093,5013870
exploratory,200M-25912211,619844,count,11,635095.0,777224.5454545454,975986269.7706642,5.30922199002731,4.092377541067883,6.526066438986737,10216,1697814
exploratory,200M-25912211,619844,estimate,11,618684.7272727273,774385.2727272727,1001873769.7508439,2.590163356183413,1.340017146246161,3.840309566120665,11648,3853462
exploratory,200M-25912211,619844,hybrid256,11,624520.9090909091,752838.8181818182,992511204.952742,3.5527956035347024,2.2268764093228883,4.878714797746516,10603,2734830
exploratory,200M-25912211,619844,bounded,11,618659.3636363636,757822.3636363636,1001914844.3121806,2.5811165119811608,1.3438788092465972,3.8183542147157246,11660,4178470
exploratory,200M-25912211,619844,native,11,599388.6363636364,735836.0909090909,1034127046.1189622,-0.6074754708612276,-1.8936309437391903,0.6786800020167352,11093,5013870
exploratory,200M-25912211,619844,u256,11,602482.0,736717.0909090909,1028817458.4468913,-0.09912184786049796,-1.2636035526365643,1.0653598569155682,11093,5013870
exploratory,200M-25912211,619844,integers,11,603071.0,739463.1818181818,1027812645.6088918,0.003138208541648096,-1.2968349769960263,1.3031113940793224,11093,5013870
exploratory,200M-25912211,619844,count_int,11,627670.1818181818,769789.9090909091,987531378.6684728,4.073369482343137,3.043638203908019,5.103100760778254,10216,1697814
exploratory,200M-25912211,619844,estimate_int,11,609794.4545454546,764739.0,1016480217.8498596,1.0889276025387342,-0.24346932784842257,2.4213245329258912,11648,3853462
exploratory,200M-25912211,619844,hybrid_int,11,616241.4545454546,749224.0909090909,1005845996.6105375,2.159841650168878,0.9835852435690646,3.3360980567686913,10603,2734830
exploratory,200M-25912212,618805,baseline,11,618782.7272727273,750126.0,1000035994.4230682,0.0,0.0,0.0,12034,5272966
exploratory,200M-25912212,618805,manual,11,636096.5454545454,770899.9090909091,972816161.9834154,2.8209177051498995,1.9244057119075038,3.717429698392295,12034,5272966
exploratory,200M-25912212,618805,count,11,650221.4545454546,794457.9090909091,951683454.4202842,5.119841159353776,3.8179195223574443,6.421762796350107,10896,1666062
exploratory,200M-25912212,618805,estimate,11,648369.9090909091,806312.1818181818,954401170.2634958,4.834627824868904,2.8442442950525013,6.825011354685307,12679,4081438
exploratory,200M-25912212,618805,hybrid256,11,646807.1818181818,777536.0909090909,956707064.167922,4.582896039622904,2.3499068219712154,6.8158852572745925,11444,2775214
